station name,latitude,longitude,county,peninsula,# months
"MIO MICHIGAN, MI US",44.6761,-84.1283,Oscoda,lower,60
"MIO WWTP, MI US",44.6466,-84.1158,Oscoda,lower,47
"GAYLORD 9 SSW, MI US",44.90715,-84.71891,Otsego,lower,120
"GAYLORD, MI US",45.0332,-84.7113,Otsego,lower,108
"VANDERBILT 11 ENE, MI US",45.1702,-84.4397,Otsego,lower,104
"GAYLORD OTSEGO CO AIRPORT, MI US",45.01657,-84.68942,Otsego,lower,71
"HOLLAND TULIP CITY AIRPORT, MI US",42.74634,-86.09677,Ottawa,lower,72
"HOLLAND WTP, MI US",42.7989,-86.20635,Ottawa,lower,70
"GRAND HAVEN FIRE DEPARTMENT, MI US",43.06222,-86.22444,Ottawa,lower,50
"ONAWAY 4 N, MI US",45.4108,-84.2233,PresqueIsle,lower,107
"ROGERS CITY, MI US",45.4169,-83.8158,PresqueIsle,lower,60
"HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US",44.35904,-84.6739,Roscommon,lower,120
"HOUGHTON LAKE 6 WSW, MI US",44.3119,-84.8922,Roscommon,lower,102
"SAGINAW NUMBER 3, MI US",43.4122,-83.9561,Saginaw,lower,59
"SAINT CHARLES, MI US",43.3,-84.16667,Saginaw,lower,46
"LEXINGTON WATER PLANT, MI US",43.26319,-82.5327,Sanilac,lower,57
"SANDUSKY, MI US",43.4194,-82.8191,Sanilac,lower,37
"MANISTIQUE WWTP, MI US",45.9512,-86.2513,Schoolcraft,upper,119
"SENEY MICHIGAN, MI US",46.2403,-85.9428,Schoolcraft,upper,60
"DOE LAKE MICHIGAN, MI US",46.2536,-86.7142,Schoolcraft,upper,58
"SENEY WILDLIFE REF, MI US",46.28333,-85.95,Schoolcraft,upper,37
"OWOSSO WWTP, MI US",43.0161,-84.18,Shiawassee,lower,105
"DURAND WWTP, MI US",42.9269,-83.9894,Shiawassee,lower,56
"PORT HURON, MI US",42.975,-82.4194,SaintClair,lower,77
"ALGONAC WWTP, MI US",42.6158,-82.5436,SaintClair,lower,46
"THREE RIVERS, MI US",41.9299,-85.6385,SaintJoseph,lower,119
"CARO WWTP, MI US",43.4838,-83.3919,Tuscola,lower,110
"CASS CITY 1 SSW, MI US",43.5861,-83.1805,Tuscola,lower,61
"VASSAR, MI US",43.3656,-83.5828,Tuscola,lower,47
"BLOOMINGDALE, MI US",42.3838,-85.9626,VanBuren,lower,100
"SOUTH HAVEN, MI US",42.4014,-86.2826,VanBuren,lower,73
"ANN ARBOR U OF MICH, MI US",42.29806,-83.66388,Washtenaw,lower,119
"ANN ARBOR MUNICIPAL AIRPORT, MI US",42.22393,-83.73983,Washtenaw,lower,71
"ANN ARBOR SE, MI US",42.2416,-83.6933,Washtenaw,lower,60
"CHELSEA, MI US",42.3263,-84.0133,Washtenaw,lower,59
"SALINE 4 SW, MI US",42.1236,-83.8199,Washtenaw,lower,55
"MANCHESTER, MI US",42.1508,-84.0236,Washtenaw,lower,48
"WHITMORE LAKE 1 NW, MI US",42.4355,-83.783,Washtenaw,lower,47
"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,Wayne,lower,120
"DETROIT CITY AIRPORT, MI US",42.40725,-83.00899,Wayne,lower,118
"DEARBORN, MI US",42.31917,-83.23839,Wayne,lower,105
"DETROIT WILLOW RUN AIRPORT, MI US",42.23666,-83.52638,Wayne,lower,69
