"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-06","152","0","38",",0,25,+","93",",0,29,","7890","0","65.5",",0","78.8",",,,0","52.2",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-01","0","0","-6",",0,22,+","45",",0,28,","4204","0","17.0",",0","24.7",",,,0","9.3",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-02","0","0","-10",",0,04,","45",",0,01,","5402","0","22.2",",0","31.3",",,,0","13.1",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-03","0","0","5",",0,15,","52",",0,21,","6521","0","28.9",",0","38.4",",,,0","19.3",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-04","17","0","19",",0,03,","85",",0,29,","7087","0","46.7",",0","57.1",",,,0","36.2",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-05","70","0","28",",0,06,","87",",0,21,","7286","0","60.3",",0","70.9",",,,0","49.7",",,,0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-06","198","0","41",",0,20,","95",",0,30,","7350","0","67.1",",0","78.3",",,,0","56.0",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-01","0","0","-9",",0,22,","52",",0,28,","3802","0","20.9",",0","26.3",",,,0","15.5",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-02","0","0","-2",",0,04,","50",",0,01,","4880","0","26.5",",0","33.1",",,,0","19.8",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-03","0","0","13",",0,29,","52",",0,04,","5900","0","32.1",",0","37.8",",,,0","26.5",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-04","22","0","25",",0,07,","82",",0,29,","6392","0","49.3",",0","57.1",",,,0","41.5",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-05","111","0","32",",0,06,","88",",0,21,","6589","0","61.5",",0","70.7",",,,0","52.3",",,,0"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-06","273","0","46",",0,25,+","92",",0,30,","6644","0","68.6",",0","78.3",",,,0","58.9",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-01","0","0","-28",",0,22,+","33",",0,29,","5674","0","5.3",",0","16.8",",,,0","-6.2",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-02","0","0","-32",",0,14,","45",",0,24,+","7272","0","7.9",",0","22.9",",,,0","-7.1",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-03","0","0","-14",",0,09,","54",",0,22,","8704","0","18.8",",0","33.6",",,,0","4.0",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-04","2","0","8",",0,11,","83",",0,30,","9495","0","38.7",",0","50.6",",,,0","26.7",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-05","9","0","17",",0,06,","86",",0,19,","10002","0","48.9",",0","59.7",",,,0","38.0",",,,0"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-06","60","0","31",",0,20,","93",",0,30,","10161","0","61.4",",0","75.6",",,,0","47.2",",,,0"
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-01",,,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-02",,,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-03",,,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-04",,,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-05",,,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-06",,,,,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-01","0","0","-14",",0,24,","48",",0,29,+","4283","0","16.1",",0","25.8",",,,0","6.5",",,,0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-02","0","0","-10",",0,13,","51",",0,24,+","5431","0","24.0",",0","34.4",",,,0","13.6",",,,0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-03","0","0","5",",0,15,","53",",0,21,","6498","0","30.6",",0","40.2",",,,0","21.0",",,,0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-04","14","0","23",",0,11,","81",",0,30,","7042","0","47.3",",0","58.4",",,,0","36.2",",,,0"
